City,Station,Date,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3
Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",20-11-2023 12:00:00,37,46,4,27,23,20,3
Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",20-11-2023 12:00:00,45,53,3,14,22,11,1
Dharwad,"Kalabhavan, Dharwad - KSPCB",20-11-2023 12:00:00,22,39,4,62,38,19,3
Gadag,"Panchal Nagar, Gadag - KSPCB",20-11-2023 12:00:00,27,30,4,49,25,13,2
Hassan,"B.Katihalli, Hassan - KSPCB",20-11-2023 12:00:00,53,64,16,14,12,16,3
Haveri,"Ashwini Nagar, Haveri - KSPCB",20-11-2023 12:00:00,64,76,19,40,19,20,3
Hubballi,"Deshpande Nagar, Hubballi - KSPCB",20-11-2023 12:00:00,54,NA,11,59,33,25,12
Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",20-11-2023 12:00:00,28,32,1,33,44,8,2
Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",20-11-2023 12:00:00,,37,65,31,19,12,1
Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",20-11-2023 12:00:00,29,48,5,41,34,9,3
Kolar,"Tamaka Ind. Area, Kolar - KSPCB",20-11-2023 12:00:00,NA,NA,13,104,28,13,4
Koppal,"Diwator Nagar, Koppal - KSPCB",20-11-2023 12:00:00,28,47,23,46,16,12,5
Madikeri,"Stuart Hill, Madikeri - KSPCB",20-11-2023 12:00:00,26,31,4,16,30,9,NA
Mangalore,"Kadri, Mangalore - KSPCB",20-11-2023 12:00:00,NA,NA,NA,52,33,NA,NA
Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",20-11-2023 12:00:00,28,39,3,23,14,22,3
Raichur,"Haji Colony, Raichur - KSPCB",20-11-2023 12:00:00,34,NA,57,64,3,22,3
Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",20-11-2023 12:00:00,49,39,34,23,34,22,2
